Depth (cm),Depth sed [m],Age [ka BP],TC [%],TOC [%],TN [%],δ13C Corg,δ15N,Terr [%] (δ13C Fterr (%)),"<63 µm [%] (Grain size, sieving)",TOC/TN
1048.5,10.485,17.7435,1.99,0.69,0.08,-20.99,1.73,35.32,95.89,10.0625
1058.5,10.585,17.8055,1.7,0.64,0.1,-21.18,1.88,42.25,99.42,7.466666667
1068.5,10.685,17.848,1.63,0.63,0.1,-21.01,2.13,36.11,99.29,7.35
1078.5,10.785,17.893,1.67,0.66,0.1,-21.14,1.57,40.84,99.45,7.7
1088.5,10.885,17.948,1.74,0.7,0.11,-21.02,1.7,36.48,99.2,7.424242424
1098.5,10.985,17.984,1.67,0.64,0.1,-21.19,1.29,42.51,99.65,7.466666667
1108.5,11.085,18.025,1.65,0.64,0.09,-21.13,0.59,40.43,96.48,8.296296296
1113.5,11.135,18.0485,0.85,0.6,0.1,-21.19,1.83,42.52,99.34,7
1116.5,11.165,18.0565,1.29,0.66,0.1,-20.34,-1.64,12.21,87.92,7.7
1120.5,11.205,18.076,1.63,0.61,0.09,-21.3,1.52,46.5,97.67,7.907407407
1130.5,11.305,18.1155,1.44,0.61,0.09,-21.41,1.75,50.34,99.65,7.907407407
1140.5,11.405,18.1605,1.6,0.65,0.1,-21.11,2.03,39.65,99.48,7.583333333
1150.5,11.505,18.199,1.63,0.67,0.1,-20.97,2.78,34.64,99.08,7.816666667
1160.5,11.605,18.2355,1.7,0.62,0.1,-21.22,1.73,43.65,99.85,7.233333333
1170.5,11.705,18.2715,1.59,0.64,0.11,-21.26,1.68,45.09,99.42,6.787878788
1180.5,11.805,18.3205,1.67,0.57,0.11,-21.44,1.05,51.49,99.79,6.045454545
1190.5,11.905,18.368,1.72,0.57,0.11,-21.31,1.18,46.62,99.67,6.045454545
1198.5,11.985,18.4,1.7,0.57,0.1,-21.25,2.17,44.66,99.55,6.65
1210.5,12.105,18.452,1.65,0.62,0.1,-21.25,1.84,44.78,99.92,7.233333333
1220.5,12.205,18.504,1.88,0.67,0.11,-21.29,1.51,46.1,99.4,7.106060606
1230.5,12.305,18.559,1.67,0.59,0.11,-21.41,1.74,50.24,99.62,6.257575758
1240.5,12.405,18.6115,1.73,0.55,0.11,-21.24,1.66,44.31,99.22,5.833333333
1250.5,12.505,18.668,1.73,0.6,0.11,-21.2,1.25,42.98,99.7,6.363636364
1260.5,12.605,18.7315,1.74,0.6,0.11,-21.09,1.97,39.1,99.57,6.363636364
1270.5,12.705,18.7795,1.7,0.65,0.12,-21.23,1.91,43.82,99.79,6.319444444
1279.5,12.795,18.833,1.64,0.56,0.1,-21.34,2.39,47.73,98.18,6.533333333
1289.5,12.895,18.9035,1.55,0.6,0.11,-21.27,2.33,45.43,99.46,6.363636364
1300.5,13.005,18.995,1.19,0.56,0.11,-21.63,1.99,58.04,99.44,5.939393939
1310.5,13.105,19.0765,1.58,0.59,0.11,-21.3,2.23,46.37,99.17,6.257575758
1320.5,13.205,19.1555,1.46,0.62,0.11,-21.31,2.27,46.81,98.96,6.575757576
1330.5,13.305,19.236,1.3,0.58,0.11,-21.39,2.64,49.71,99.88,6.151515152
1340.5,13.405,19.292,1.24,0.55,0.1,-22.07,1,73.75,99.57,6.416666667
1348.5,13.485,19.349,1.53,0.65,0.11,-21.68,1.34,60.08,99.88,6.893939394
1351.5,13.515,19.36,1.59,0.69,0.12,-20.91,1.6,32.58,99.23,6.708333333
1360.5,13.605,19.406,1.6,0.68,0.1,-21.2,1.58,42.93,99.27,7.933333333
1370.5,13.705,19.4555,1.39,0.6,0.1,-21.22,1.78,43.62,99.74,7
1380.5,13.805,19.498,1.46,0.69,0.11,-21.27,2.37,45.24,97.98,7.318181818
1390.5,13.905,19.557,1.46,0.75,0.11,-21.33,2.34,47.6,99.76,7.954545455
1397.5,13.975,19.586,1.04,0.61,0.1,-21.34,1.16,47.91,94.18,7.116666667
1406.5,14.065,19.6315,1.64,0.69,0.11,-20.91,1.55,32.33,96.92,7.318181818
1417.5,14.175,19.6855,1.43,0.62,0.1,-21.2,1.75,42.88,99.64,7.233333333
1429.5,14.295,19.746,1.48,0.66,0.11,-21.08,0.94,38.63,98.48,7
1440.5,14.405,19.7985,1.43,0.69,0.11,-20.98,1.5,34.92,99.49,7.318181818
1450.5,14.505,19.8565,1.19,0.62,0.11,-21,1.56,35.7,88.9,6.575757576
1460.5,14.605,19.907,1.37,0.79,0.1,-20.58,0.4,20.73,90.45,9.216666667
1465.5,14.655,19.937,1.39,0.72,0.11,-21.67,1.8,59.57,98.33,7.636363636
1475.5,14.755,19.9835,1.34,0.61,0.1,-21.66,2.11,59.27,99.8,7.116666667
1485.5,14.855,20.048,1.22,0.61,0.1,-21.31,1.86,46.69,99.09,7.116666667
1495.5,14.955,20.107,0.86,0.59,0.1,-21.8,2.92,64.19,99.77,6.883333333
1504.5,15.045,20.1515,1.36,0.68,0.1,-21.39,1.97,49.82,99.28,7.933333333
1514.5,15.145,20.219,1.29,0.61,0.1,-21.32,1.98,47.18,99.33,7.116666667
1524.5,15.245,20.291,1.34,0.63,0.1,-21.26,2.13,45.07,99.62,7.35
1534.5,15.345,20.3695,0.91,0.54,0.09,-21.59,1.52,56.94,99.07,7
1544.5,15.445,20.4535,1.54,0.56,0.09,-21.53,1.23,54.7,99.7,7.259259259
1554.5,15.545,20.507,1.45,0.58,0.09,-21.33,2.7,47.64,98.95,7.518518519
1564.5,15.645,20.5995,1.23,0.65,0.09,-21.5,2.38,53.63,99.83,8.425925926
1574.5,15.745,20.6805,1.33,0.53,0.09,-21.44,1.4,51.6,98.88,6.87037037
1584.5,15.845,20.765,1.51,0.56,0.1,-21.32,1.56,47.19,99.78,6.533333333
1594.5,15.945,20.84,1.59,0.56,0.1,-21.18,2.52,42.29,99.3,6.533333333
1604.5,16.045,20.913,1.6,0.6,0.1,-21.19,2.8,42.52,99.71,7
1614.5,16.145,20.9845,1.6,0.6,0.1,-21.17,3.16,41.85,99.24,7
1624.5,16.245,21.048,1.6,0.58,0.09,-21.17,3.1,41.88,99.64,7.518518519
1634.5,16.345,21.118,1.53,0.56,0.09,-21.18,2.66,41.98,98.38,7.259259259
1644.5,16.445,21.1695,1.54,0.59,0.09,-21.14,1.41,40.69,98.48,7.648148148
1654.5,16.545,21.2325,1.46,0.51,0.09,-21.08,1.91,38.46,97.79,6.611111111
1664.5,16.645,21.281,1.52,0.59,0.1,-21.16,1.96,41.34,99.21,6.883333333
1674.5,16.745,21.3405,1.45,0.57,0.1,-21.28,3.07,45.75,99.3,6.65
1684.5,16.845,21.3955,0.77,0.42,0.09,-21.53,1.44,54.71,99.23,5.444444444
1694.5,16.945,21.451,1.63,0.55,0.1,-21.23,1.71,44.05,99.42,6.416666667
1704.5,17.045,21.506,1.41,0.55,0.1,-21.3,3.76,46.41,98.25,6.416666667
1715.5,17.155,21.5695,1.26,0.55,0.1,-21.52,1.48,54.24,99.42,6.416666667
1725.5,17.255,21.622,1.15,0.54,0.1,-21.33,1.39,47.46,99.47,6.3
1734.5,17.345,21.6765,1.51,0.57,0.09,-21.41,-0.87,50.25,97.5,7.388888889
1744.5,17.445,21.7275,1.37,0.55,0.09,-21.36,0.63,48.58,99.63,7.12962963
1754.5,17.545,21.7945,1.45,0.55,0.1,-21.25,5.12,44.68,99.88,6.416666667
1764.5,17.645,21.853,1.35,0.52,0.1,-21.43,1.07,51.19,99.12,6.066666667
1774.5,17.745,21.9175,1.36,0.62,0.1,-21.32,1.73,47.2,99.75,7.233333333
1784.5,17.845,21.9805,0.87,0.51,0.1,-21.5,1.83,53.52,99.44,5.95
1790.5,17.905,22.0235,1.1,0.6,0.1,-21.39,0.99,49.75,99.58,7
