GL Depth,MS,Mean,GS Age (ka),,,Depth1 (cm),Age (ka),Asian dustREE (%)
2.48,38.9 ,39.509,14.82 ,,,,,
2.5,38.6 ,37.266,14.87 ,,,,,
2.52,38.7 ,37.434,14.92 ,,,,,
2.54,37.7 ,39.672,14.96 ,,,,,
2.56,38.2 ,43.304,15.00 ,,,,,
2.58,36.5 ,44.015,15.05 ,,,,,
2.6,37.2 ,41.824,15.09 ,,,,,
2.62,39.1 ,39.566,15.13 ,,,,,
2.64,40.4 ,40.455,15.18 ,,,,,
2.66,39.3 ,41.349,15.22 ,,,,,
2.68,37.6 ,40.057,15.27 ,,,,,
2.7,35.8 ,37.512,15.31 ,,,,,
2.72,36.0 ,34.964,15.36 ,,,,,
2.74,35.7 ,35.74,15.41 ,,,,,
2.76,36.3 ,36.663,15.46 ,,,,,
2.78,36.4 ,35.975,15.51 ,,,,,
2.8,37.9 ,32.416,15.57 ,,,,,
2.82,39.9 ,33.616,15.62 ,,,,,
2.84,39.7 ,32.436,15.67 ,,,,,
2.86,38.6 ,37.996,15.72 ,,,,,
2.88,40.3 ,41.569,15.76 ,,,,,
2.9,39.4 ,42.162,15.81 ,,,,,
2.92,38.7 ,39.356,15.85 ,,,,,
2.94,38.6 ,38.346,15.90 ,,,,,
2.96,37.7 ,36.53,15.95 ,,,,,
2.98,37.4 ,38.34,15.99 ,,,,,
3,39.4 ,35.355,16.04 ,,,,,
3.02,39.0 ,36.305,16.09 ,,,,,
3.04,38.9 ,32.892,16.15 ,,,,,
3.06,38.7 ,34.507,16.20 ,,,,,
3.08,38.7 ,31.78,16.25 ,,,,,
3.1,38.2 ,32.925,16.31 ,,,,,
3.12,38.7 ,35.753,16.36 ,,,,,
3.14,39.0 ,37.516,16.41 ,,,,,
3.16,39.6 ,37.835,16.45 ,,,,,
3.18,40.2 ,36.918,16.50 ,,,,,
3.2,40.3 ,40.149,16.55 ,,,,,
3.22,39.6 ,39.834,16.59 ,,,,,
3.24,40.5 ,38.454,16.64 ,,,,,
3.26,40.7 ,39.108,16.68 ,,,,,
3.28,39.6 ,37.524,16.73 ,,,,,
3.3,39.2 ,38.983,16.78 ,,,,,
3.32,38.7 ,37.275,16.83 ,,,,,
3.34,41.3 ,38.117,16.87 ,,,,,
3.36,41.4 ,37.303,16.92 ,,,,,
3.38,42.2 ,36.9,16.97 ,,,,,
3.4,42.0 ,36.571,17.02 ,,,,,
3.42,40.6 ,33.875,17.07 ,,,,,
3.44,39.3 ,34.164,17.12 ,,,,,
3.46,38.9 ,34.486,17.17 ,,,,,
3.48,40.8 ,35.64,17.22 ,,,,,
3.5,40.7 ,36.337,17.27 ,,,,,
3.52,39.3 ,36.292,17.32 ,,,,,
3.54,38.8 ,38.006,17.37 ,,,,,
3.56,39.7 ,36.027,17.42 ,,,,,
3.58,40.1 ,38.241,17.47 ,,,,,
3.6,38.9 ,36.388,17.52 ,,,,,
3.62,40.1 ,35.881,17.56 ,,,,,
3.64,41.0 ,37.627,17.61 ,,,,,
3.66,41.5 ,35.432,17.66 ,,,,,
3.68,40.1 ,36.26,17.71 ,,,,,
3.7,39.4 ,37.869,17.76 ,,,,,
3.72,41.3 ,33.598,17.81 ,,,,,
3.74,40.3 ,34.666,17.86 ,,,,,
3.76,41.4 ,34.573,17.91 ,,,,,
3.78,42.5 ,41.539,17.96 ,,,,,
3.8,43.4 ,42.307,18.00 ,,,,,
3.82,44.0 ,41.829,18.04 ,,,,,
3.84,41.5 ,41.55,18.09 ,,,,,
3.86,41.6 ,40.189,18.13 ,,,,,
3.88,40.9 ,38.556,18.18 ,,,,,
3.9,40.8 ,36.11,18.23 ,,,,,
3.92,40.7 ,34.371,18.28 ,,,,,
3.94,38.0 ,33.679,18.33 ,,,,,
3.96,40.1 ,36.988,18.38 ,,,,,
3.98,39.9 ,36.736,18.43 ,,,,,
4,39.9 ,34.72,18.48 ,,,,,
4.02,40.9 ,36.126,18.53 ,,,,,
4.04,39.6 ,37.57,18.58 ,,,,,
4.06,38.9 ,32.782,18.63 ,,,,,
4.08,38.8 ,34.542,18.68 ,,,,,
4.1,38.2 ,33.173,18.74 ,,,,,
4.12,39.2 ,33.529,18.79 ,,,,,
4.14,40.2 ,35.12,18.84 ,,,,,
4.16,40.1 ,39.167,18.88 ,,,,,
4.18,40.8 ,40.633,18.93 ,,,,,
4.2,40.4 ,39.313,18.97 ,,,,,
4.22,42.4 ,39.333,19.02 ,,,,,
4.24,41.9 ,36.562,19.07 ,,,,,
4.26,41.5 ,33.695,19.12 ,,,,,
4.28,41.6 ,31.753,19.18 ,,,,,
4.3,41.1 ,31.824,19.23 ,,,,,
4.32,40.8 ,35.441,19.28 ,,,,,
4.34,41.0 ,38.344,19.33 ,,,,,
4.36,39.4 ,38.437,19.38 ,,,,,
4.38,39.9 ,36.43,19.43 ,,,,,
