GL Depth,MS,Mean,GS Age (ka),,,Depth1 (cm),Age (ka),Asian dustREE (%)
49.34 ,34.0 ,24.882,168.29 ,,,,,
49.36 ,33.7 ,27.39,168.35 ,,,,,
49.38 ,33.1 ,26.476,168.42 ,,,,,
49.40 ,33.8 ,25.433,168.48 ,,,,,
49.42 ,34.5 ,26.307,168.54 ,,,,,
49.44 ,35.2 ,24.697,168.60 ,,,,,
49.46 ,36.5 ,25.207,168.67 ,,,,,
49.48 ,33.3 ,24.136,168.73 ,,,,,
49.50 ,33.4 ,24.658,168.80 ,,,,,
49.52 ,33.3 ,23.618,168.87 ,,,,,
49.54 ,33.5 ,23.446,168.93 ,,,,,
49.56 ,33.5 ,24.024,169.00 ,,,,,
49.58 ,33.0 ,25.234,169.06 ,,,,,
49.60 ,32.5 ,24.616,169.13 ,,,,,
49.62 ,33.0 ,24.889,169.19 ,,,,,
49.64 ,33.2 ,24.779,169.26 ,,,,,
49.66 ,33.8 ,24.341,169.32 ,,,,,
49.68 ,33.1 ,24.732,169.39 ,,,,,
49.70 ,33.2 ,25.284,169.45 ,,,,,
49.72 ,33.0 ,24.829,169.52 ,,,,,
49.74 ,33.6 ,26.113,169.58 ,,,,,
49.76 ,33.3 ,25.519,169.64 ,,,,,
49.78 ,33.0 ,28.229,169.70 ,,,,,
49.80 ,33.0 ,27.133,169.76 ,,,,,
49.82 ,33.0 ,26.644,169.82 ,,,,,
49.84 ,33.3 ,25.949,169.88 ,,,,,
49.86 ,32.5 ,27.761,169.94 ,,,,,
49.88 ,32.9 ,27.016,170.00 ,,,,,
49.90 ,32.1 ,26.369,170.06 ,,,,,
49.92 ,32.9 ,26.721,170.12 ,,,,,
49.94 ,32.6 ,26.515,170.18 ,,,,,
49.96 ,32.7 ,26.755,170.24 ,,,,,
49.98 ,33.0 ,25.412,170.30 ,,,,,
50.00 ,32.1 ,25.185,170.36 ,,,,,
50.02 ,31.2 ,24.89,170.43 ,,,,,
50.04 ,30.9 ,24.191,170.49 ,,,,,
50.06 ,31.3 ,24.652,170.56 ,,,,,
50.08 ,30.6 ,23.745,170.62 ,,,,,
50.10 ,31.1 ,24.776,170.69 ,,,,,
50.12 ,32.7 ,25.252,170.75 ,,,,,
50.14 ,32.9 ,26.244,170.82 ,,,,,
50.16 ,32.2 ,24.325,170.88 ,,,,,
50.18 ,30.4 ,24.375,170.94 ,,,,,
50.20 ,31.1 ,25.194,171.01 ,,,,,
50.22 ,31.8 ,23.871,171.07 ,,,,,
50.24 ,31.9 ,25.015,171.14 ,,,,,
50.26 ,32.0 ,24.341,171.21 ,,,,,
50.28 ,31.9 ,24.136,171.27 ,,,,,
50.30 ,31.4 ,24.395,171.34 ,,,,,
50.32 ,31.5 ,23.878,171.40 ,,,,,
50.34 ,31.2 ,24.798,171.47 ,,,,,
50.36 ,31.3 ,24.05,171.54 ,,,,,
50.38 ,31.4 ,24.391,171.60 ,,,,,
50.40 ,30.8 ,23.599,171.67 ,,,,,
50.42 ,30.8 ,22.751,171.74 ,,,,,
50.44 ,31.4 ,22.558,171.81 ,,,,,
50.46 ,32.6 ,23.575,171.88 ,,,,,
50.48 ,32.8 ,23.957,171.94 ,,,,,
50.50 ,32.5 ,25.402,172.01 ,,,,,
50.52 ,29.1 ,27.475,172.07 ,,,,,
50.54 ,29.7 ,25.786,172.13 ,,,,,
50.56 ,31.3 ,24.292,172.19 ,,,,,
50.58 ,32.2 ,24.591,172.26 ,,,,,
50.60 ,32.7 ,24.117,172.33 ,,,,,
50.62 ,32.4 ,23.732,172.39 ,,,,,
50.64 ,33.3 ,24.022,172.46 ,,,,,
50.66 ,33.8 ,24.92,172.52 ,,,,,
50.68 ,33.7 ,24.228,172.59 ,,,,,
50.70 ,34.0 ,24.025,172.66 ,,,,,
50.72 ,33.4 ,23.903,172.72 ,,,,,
50.74 ,33.2 ,24.814,172.79 ,,,,,
50.76 ,33.9 ,24.724,172.85 ,,,,,
50.78 ,33.6 ,24.939,172.92 ,,,,,
50.80 ,33.4 ,24.222,172.98 ,,,,,
50.82 ,33.3 ,24.653,173.05 ,,,,,
50.84 ,33.2 ,25.929,173.11 ,,,,,
50.86 ,32.8 ,26.111,173.17 ,,,,,
50.88 ,33.5 ,25.172,173.24 ,,,,,
50.90 ,32.1 ,24.433,173.30 ,,,,,
50.92 ,34.0 ,24.474,173.36 ,,,,,
50.94 ,32.9 ,25.192,173.43 ,,,,,
50.96 ,33.4 ,23.211,173.50 ,,,,,
50.98 ,33.8 ,24.787,173.56 ,,,,,
51.00 ,33.9 ,26.016,173.62 ,,,,,
51.02 ,32.3 ,25.044,173.69 ,,,,,
51.04 ,32.3 ,26.227,173.75 ,,,,,
51.06 ,31.9 ,26.831,173.81 ,,,,,
51.08 ,31.3 ,24.901,173.87 ,,,,,
51.10 ,32.7 ,24.767,173.94 ,,,,,
51.12 ,32.2 ,25.782,174.00 ,,,,,
51.14 ,33.1 ,25.042,174.06 ,,,,,
51.16 ,33.1 ,26.224,174.12 ,,,,,
51.18 ,33.3 ,26.342,174.19 ,,,,,
51.20 ,33.4 ,26.399,174.25 ,,,,,
51.22 ,33.3 ,25.43,174.31 ,,,,,
51.24 ,33.6 ,24.523,174.37 ,,,,,
51.26 ,33.7 ,25.117,174.44 ,,,,,
51.28 ,32.9 ,25.107,174.50 ,,,,,
51.30 ,32.9 ,24.849,174.57 ,,,,,
51.32 ,34.3 ,23.949,174.63 ,,,,,
51.34 ,33.7 ,24.184,174.70 ,,,,,
51.36 ,33.6 ,22.799,174.77 ,,,,,
51.38 ,32.9 ,24.115,174.84 ,,,,,
51.40 ,34.0 ,23.15,174.90 ,,,,,
51.42 ,33.4 ,23.738,174.97 ,,,,,
51.44 ,33.8 ,24.69,175.04 ,,,,,
51.46 ,33.6 ,22.839,175.11 ,,,,,
51.48 ,34.8 ,24.322,175.17 ,,,,,
51.50 ,34.0 ,24.843,175.24 ,,,,,
51.52 ,34.1 ,23.64,175.30 ,,,,,
51.54 ,34.2 ,23.983,175.37 ,,,,,
51.56 ,34.2 ,23.093,175.44 ,,,,,
51.58 ,35.5 ,23.841,175.51 ,,,,,
51.60 ,35.7 ,25.877,175.57 ,,,,,
51.62 ,34.5 ,27.328,175.63 ,,,,,
51.64 ,34.3 ,25.829,175.69 ,,,,,
51.66 ,33.7 ,25.173,175.75 ,,,,,
51.68 ,34.3 ,26.717,175.81 ,,,,,
51.70 ,34.2 ,26.662,175.87 ,,,,,
51.72 ,34.3 ,25.913,175.93 ,,,,,
51.74 ,34.0 ,26.46,176.00 ,,,,,
51.76 ,33.7 ,25.385,176.06 ,,,,,
51.78 ,35.0 ,25.277,176.12 ,,,,,
51.80 ,35.5 ,26.397,176.18 ,,,,,
51.82 ,34.9 ,26.669,176.24 ,,,,,
51.84 ,34.4 ,27.092,176.30 ,,,,,
51.86 ,35.2 ,25.445,176.37 ,,,,,
51.88 ,34.9 ,25.153,176.43 ,,,,,
51.90 ,35.1 ,27.195,176.49 ,,,,,
51.92 ,34.8 ,26.117,176.55 ,,,,,
51.94 ,34.0 ,27.933,176.61 ,,,,,
51.96 ,35.2 ,27.055,176.66 ,,,,,
51.98 ,34.1 ,27.384,176.72 ,,,,,
52.00 ,33.5 ,26.946,176.78 ,,,,,
52.02 ,33.3 ,27.28,176.84 ,,,,,
52.04 ,33.4 ,27.513,176.90 ,,,,,
52.06 ,35.4 ,26.943,176.96 ,,,,,
52.08 ,35.0 ,26.052,177.02 ,,,,,
52.10 ,35.6 ,25.781,177.08 ,,,,,
52.12 ,37.6 ,25.837,177.14 ,,,,,
52.14 ,36.6 ,26.446,177.21 ,,,,,
52.16 ,36.4 ,26.294,177.27 ,,,,,
52.18 ,35.2 ,25.378,177.33 ,,,,,
52.20 ,34.7 ,24.846,177.39 ,,,,,
52.22 ,35.1 ,29.525,177.45 ,,,,,
52.24 ,38.5 ,28.35,177.50 ,,,,,
52.26 ,35.5 ,27.362,177.56 ,,,,,
52.28 ,36.2 ,26.74,177.62 ,,,,,
52.30 ,35.3 ,26.244,177.68 ,,,,,
52.32 ,33.6 ,26.216,177.75 ,,,,,
52.34 ,34.8 ,24.882,177.81 ,,,,,
52.36 ,36.6 ,25.933,177.87 ,,,,,
52.38 ,35.9 ,23.864,177.94 ,,,,,
52.40 ,35.7 ,24.255,178.00 ,,,,,
52.42 ,36.6 ,27.668,178.09 ,,,,,
52.44 ,38.2 ,28.088,178.18 ,,,,,
52.46 ,37.7 ,28.559,178.27 ,,,,,
52.48 ,36.5 ,28.411,178.36 ,,,,,
52.50 ,34.8 ,30.606,178.45 ,,,,,
52.52 ,36.0 ,31.249,178.53 ,,,,,
52.54 ,35.3 ,30.869,178.61 ,,,,,
52.56 ,37.0 ,29.303,178.70 ,,,,,
52.58 ,36.5 ,31.156,178.78 ,,,,,
52.60 ,38.0 ,32.896,178.86 ,,,,,
52.62 ,39.4 ,32.73,178.94 ,,,,,
52.64 ,36.7 ,31.753,179.02 ,,,,,
52.66 ,35.4 ,30.655,179.10 ,,,,,
52.68 ,36.4 ,29.787,179.18 ,,,,,
52.70 ,37.2 ,31.38,179.27 ,,,,,
52.72 ,37.0 ,30.997,179.35 ,,,,,
52.74 ,36.7 ,31.533,179.43 ,,,,,
52.76 ,36.2 ,33.875,179.50 ,,,,,
52.78 ,39.2 ,36.23,179.58 ,,,,,
52.80 ,44.2 ,34.433,179.65 ,,,,,
52.82 ,43.0 ,32.017,179.73 ,,,,,
52.84 ,36.9 ,31.489,179.81 ,,,,,
52.86 ,39.4 ,32.72,179.89 ,,,,,
52.88 ,43.4 ,34.973,179.96 ,,,,,
52.90 ,40.7 ,35.628,180.03 ,,,,,
52.92 ,44.1 ,35.908,180.10 ,,,,,
52.94 ,47.0 ,34.661,180.18 ,,,,,
52.96 ,38.7 ,33.941,180.25 ,,,,,
52.98 ,38.8 ,33.595,180.33 ,,,,,
53.00 ,37.1 ,33.744,180.40 ,,,,,
53.02 ,37.6 ,34.241,180.48 ,,,,,
53.04 ,40.6 ,35.293,180.55 ,,,,,
53.06 ,40.9 ,35.163,180.62 ,,,,,
53.08 ,40.3 ,34.97,180.70 ,,,,,
53.10 ,40.9 ,37.573,180.77 ,,,,,
53.12 ,38.2 ,36.073,180.84 ,,,,,
53.14 ,35.2 ,36.249,180.91 ,,,,,
53.16 ,39.2 ,33.413,180.98 ,,,,,
53.18 ,41.8 ,37.025,181.05 ,,,,,
53.20 ,41.9 ,37.092,181.12 ,,,,,
53.22 ,40.3 ,36.817,181.19 ,,,,,
53.24 ,40.2 ,35.08,181.26 ,,,,,
53.26 ,42.2 ,33.116,181.34 ,,,,,
53.28 ,44.6 ,31.488,181.42 ,,,,,
53.30 ,41.3 ,33.288,181.50 ,,,,,
53.32 ,40.5 ,32.139,181.58 ,,,,,
53.34 ,40.3 ,33.009,181.66 ,,,,,
53.36 ,37.3 ,29.313,181.74 ,,,,,
53.38 ,37.5 ,28.422,181.83 ,,,,,
53.40 ,37.8 ,29.082,181.92 ,,,,,
53.42 ,37.9 ,28.535,182.01 ,,,,,
53.44 ,37.6 ,28.24,182.10 ,,,,,
53.46 ,36.7 ,27.563,182.19 ,,,,,
53.48 ,37.9 ,30.29,182.28 ,,,,,
53.50 ,37.6 ,29.545,182.36 ,,,,,
53.52 ,35.8 ,28.063,182.45 ,,,,,
53.54 ,36.6 ,28.347,182.54 ,,,,,
53.56 ,37.1 ,26.893,182.64 ,,,,,
53.58 ,36.5 ,27.368,182.73 ,,,,,
53.60 ,35.2 ,26.624,182.83 ,,,,,
53.62 ,34.7 ,27.531,182.92 ,,,,,
53.64 ,34.6 ,27.543,183.01 ,,,,,
53.66 ,35.1 ,26.349,183.11 ,,,,,
53.68 ,34.6 ,26.951,183.21 ,,,,,
53.70 ,33.7 ,24.743,183.31 ,,,,,
53.72 ,33.9 ,24.272,183.41 ,,,,,
53.74 ,33.6 ,26.214,183.51 ,,,,,
53.76 ,34.8 ,27.746,183.60 ,,,,,
53.78 ,34.0 ,27.231,183.69 ,,,,,
53.80 ,34.1 ,27.775,183.79 ,,,,,
53.82 ,34.6 ,29.338,183.87 ,,,,,
53.84 ,32.0 ,28.648,183.96 ,,,,,
53.86 ,30.1 ,31.57,184.04 ,,,,,
53.88 ,34.9 ,31.627,184.12 ,,,,,
53.90 ,33.9 ,34.045,184.20 ,,,,,
53.92 ,33.8 ,30.258,184.28 ,,,,,
53.94 ,32.7 ,30.104,184.37 ,,,,,
53.96 ,32.7 ,28.821,184.46 ,,,,,
53.98 ,29.1 ,29.419,184.54 ,,,,,
54.00 ,32.9 ,31.582,184.62 ,,,,,
54.02 ,32.8 ,31.357,184.71 ,,,,,
54.04 ,32.3 ,29.343,184.79 ,,,,,
54.06 ,32.9 ,29.881,184.88 ,,,,,
54.08 ,33.2 ,32.133,184.96 ,,,,,
54.10 ,37.2 ,31.937,185.04 ,,,,,
54.12 ,36.3 ,31.071,185.12 ,,,,,
54.14 ,33.0 ,31.94,185.20 ,,,,,
54.16 ,34.3 ,31.755,185.28 ,,,,,
54.18 ,35.3 ,29.829,185.37 ,,,,,
54.20 ,33.6 ,28.76,185.45 ,,,,,
54.22 ,33.4 ,30.773,185.54 ,,,,,
54.24 ,34.2 ,29.497,185.62 ,,,,,
54.26 ,35.3 ,30.757,185.71 ,,,,,
54.28 ,34.8 ,31.509,185.79 ,,,,,
54.30 ,35.3 ,30.845,185.87 ,,,,,
54.32 ,33.8 ,30.79,185.95 ,,,,,
54.34 ,34.0 ,31.701,186.03 ,,,,,
54.36 ,35.4 ,34.494,186.11 ,,,,,
54.38 ,35.5 ,34.501,186.18 ,,,,,
54.40 ,35.7 ,32.111,186.26 ,,,,,
54.42 ,35.8 ,31.136,186.34 ,,,,,
54.44 ,34.1 ,31.414,186.43 ,,,,,
54.46 ,33.4 ,29.824,186.51 ,,,,,
54.48 ,35.0 ,29.206,186.60 ,,,,,
54.50 ,32.9 ,31.316,186.68 ,,,,,
54.52 ,31.8 ,29.669,186.77 ,,,,,
54.54 ,32.6 ,29.258,186.85 ,,,,,
54.56 ,32.4 ,32.923,186.93 ,,,,,
54.58 ,32.2 ,29.335,187.01 ,,,,,
54.60 ,33.4 ,31.391,187.10 ,,,,,
54.62 ,35.3 ,30.809,187.18 ,,,,,
54.64 ,33.4 ,28.777,187.27 ,,,,,
54.66 ,32.8 ,27.88,187.36 ,,,,,
54.68 ,34.4 ,28.887,187.45 ,,,,,
54.70 ,34.8 ,30.232,187.54 ,,,,,
54.72 ,33.0 ,27.321,187.63 ,,,,,
54.74 ,34.3 ,26.967,187.72 ,,,,,
54.76 ,34.0 ,29.273,187.81 ,,,,,
54.78 ,31.9 ,29.621,187.89 ,,,,,
54.80 ,32.2 ,30.274,187.98 ,,,,,
54.82 ,33.3 ,32.542,188.06 ,,,,,
54.84 ,32.3 ,31.282,188.14 ,,,,,
54.86 ,33.1 ,32.102,188.22 ,,,,,
54.88 ,32.3 ,31.255,188.30 ,,,,,
54.90 ,32.2 ,32.135,188.38 ,,,,,
54.92 ,32.8 ,31.045,188.46 ,,,,,
54.94 ,34.8 ,31.894,188.54 ,,,,,
54.96 ,36.4 ,33.102,188.62 ,,,,,
54.98 ,35.4 ,32.265,188.70 ,,,,,
55.00 ,32.5 ,31.17,188.78 ,,,,,
55.02 ,33.7 ,32.259,188.86 ,,,,,
55.04 ,38.5 ,32.61,188.94 ,,,,,
55.06 ,37.0 ,27.928,189.03 ,,,,,
55.08 ,33.0 ,25.409,189.13 ,,,,,
55.10 ,31.4 ,27.163,189.22 ,,,,,
55.12 ,31.7 ,28.417,189.31 ,,,,,
55.14 ,31.8 ,30.889,189.40 ,,,,,
55.16 ,33.0 ,29.632,189.48 ,,,,,
55.18 ,32.6 ,29.72,189.57 ,,,,,
55.20 ,33.1 ,29.963,189.65 ,,,,,
55.22 ,31.0 ,30.204,189.74 ,,,,,
55.24 ,29.8 ,28.669,189.83 ,,,,,
55.26 ,31.9 ,28.436,189.92 ,,,,,
55.28 ,30.4 ,28.562,190.01 ,,,,,
55.30 ,29.6 ,27.175,190.10 ,,,,,
55.32 ,29.9 ,27.359,190.19 ,,,,,
55.34 ,30.8 ,29.23,190.28 ,,,,,
55.36 ,30.7 ,29.394,190.37 ,,,,,
55.38 ,30.8 ,29.56,190.45 ,,,,,
55.40 ,30.1 ,28.149,190.54 ,,,,,
55.42 ,30.1 ,27.199,190.64 ,,,,,
55.44 ,30.4 ,28.085,190.73 ,,,,,
55.46 ,31.8 ,27.671,190.82 ,,,,,
55.48 ,31.3 ,25.546,190.92 ,,,,,
55.50 ,30.8 ,27.122,191.02 ,,,,,
55.52 ,31.1 ,27.02,191.11 ,,,,,
55.54 ,30.8 ,25.914,191.21 ,,,,,
55.56 ,31.1 ,28.046,191.30 ,,,,,
55.58 ,31.9 ,26.728,191.39 ,,,,,
55.60 ,31.9 ,30.35,191.48 ,,,,,
55.62 ,31.3 ,27.276,191.57 ,,,,,
55.64 ,31.8 ,25.586,191.67 ,,,,,
55.66 ,29.7 ,23.717,191.78 ,,,,,
55.68 ,29.9 ,22.902,191.89 ,,,,,
55.70 ,30.1 ,23.572,192.00 ,,,,,
55.72 ,29.7 ,22.556,192.07 ,,,,,
55.74 ,29.5 ,24.709,192.14 ,,,,,
55.76 ,29.5 ,24.183,192.20 ,,,,,
55.78 ,29.3 ,24.347,192.27 ,,,,,
55.80 ,29.5 ,24.644,192.33 ,,,,,
55.82 ,30.1 ,23.385,192.40 ,,,,,
55.84 ,30.2 ,23.984,192.47 ,,,,,
55.86 ,28.1 ,22.047,192.54 ,,,,,
55.88 ,28.3 ,21.841,192.61 ,,,,,
55.90 ,28.6 ,21.439,192.68 ,,,,,
55.92 ,28.7 ,22.006,192.75 ,,,,,
55.94 ,29.4 ,20.294,192.83 ,,,,,
55.96 ,29.9 ,19.719,192.91 ,,,,,
55.98 ,29.6 ,19.047,192.99 ,,,,,
56.00 ,30.1 ,19.986,193.07 ,,,,,
56.02 ,29.9 ,19.631,193.15 ,,,,,
56.04 ,29.9 ,20.405,193.23 ,,,,,
56.06 ,29.8 ,20.165,193.31 ,,,,,
56.08 ,29.7 ,20.593,193.39 ,,,,,
56.10 ,29.2 ,20.095,193.46 ,,,,,
56.12 ,29.5 ,20.306,193.54 ,,,,,
56.14 ,28.3 ,20.098,193.62 ,,,,,
56.16 ,29.2 ,20.563,193.70 ,,,,,
56.18 ,29.5 ,20.927,193.77 ,,,,,
56.20 ,28.9 ,21.042,193.85 ,,,,,
56.22 ,29.4 ,21.173,193.92 ,,,,,
56.24 ,29.7 ,22.195,193.99 ,,,,,
56.26 ,29.6 ,20.781,194.07 ,,,,,
56.28 ,29.6 ,20.61,194.15 ,,,,,
56.30 ,29.2 ,20.707,194.22 ,,,,,
56.32 ,29.2 ,21.105,194.30 ,,,,,
56.34 ,29.5 ,22.222,194.37 ,,,,,
56.36 ,29.6 ,22.209,194.44 ,,,,,
56.38 ,29.5 ,22.101,194.51 ,,,,,
56.40 ,29.1 ,22.485,194.58 ,,,,,
56.42 ,29.3 ,22.923,194.65 ,,,,,
56.44 ,29.2 ,24.377,194.71 ,,,,,
56.46 ,29.1 ,24.913,194.78 ,,,,,
56.48 ,28.8 ,23.858,194.84 ,,,,,
56.50 ,29.1 ,21.963,194.91 ,,,,,
56.52 ,29.2 ,21.995,194.99 ,,,,,
56.54 ,29.1 ,21.4,195.06 ,,,,,
56.56 ,28.3 ,20.719,195.14 ,,,,,
56.58 ,28.2 ,19.902,195.21 ,,,,,
56.60 ,28.5 ,21.045,195.29 ,,,,,
56.62 ,28.2 ,21.356,195.36 ,,,,,
56.64 ,28.1 ,21.296,195.44 ,,,,,
56.66 ,28.5 ,21.362,195.51 ,,,,,
56.68 ,29.2 ,21.009,195.59 ,,,,,
56.70 ,29.0 ,20.721,195.66 ,,,,,
56.72 ,28.6 ,21.293,195.74 ,,,,,
56.74 ,28.4 ,20.3,195.82 ,,,,,
56.76 ,28.9 ,20.192,195.89 ,,,,,
56.78 ,28.2 ,21.486,195.97 ,,,,,
56.80 ,29.0 ,19.414,196.05 ,,,,,
56.82 ,28.6 ,18.902,196.13 ,,,,,
56.84 ,30.0 ,18.495,196.22 ,,,,,
56.86 ,33.5 ,17.802,196.31 ,,,,,
56.88 ,35.4 ,17.801,196.40 ,,,,,
56.90 ,43.9 ,17.642,196.49 ,,,,,
56.92 ,42.6 ,16.8,196.58 ,,,,,
56.94 ,41.6 ,17.513,196.67 ,,,,,
56.96 ,40.4 ,17.491,196.76 ,,,,,
56.98 ,41.4 ,17.799,196.85 ,,,,,
57.00 ,43.4 ,18.848,196.93 ,,,,,
57.02 ,44.9 ,19.208,197.02 ,,,,,
57.04 ,45.3 ,17.838,197.10 ,,,,,
57.06 ,45.6 ,17.379,197.19 ,,,,,
57.08 ,46.8 ,17.404,197.28 ,,,,,
57.10 ,48.0 ,17.646,197.37 ,,,,,
57.12 ,49.2 ,18.037,197.46 ,,,,,
57.14 ,49.7 ,17.837,197.55 ,,,,,
57.16 ,47.8 ,17.63,197.64 ,,,,,
57.18 ,45.2 ,18.104,197.73 ,,,,,
57.20 ,41.3 ,18.074,197.81 ,,,,,
57.22 ,41.9 ,17.578,197.90 ,,,,,
57.24 ,42.9 ,18.267,197.99 ,,,,,
57.26 ,41.8 ,18.734,198.07 ,,,,,
57.28 ,38.8 ,19.062,198.16 ,,,,,
57.30 ,38.7 ,19.012,198.24 ,,,,,
57.32 ,37.8 ,20.164,198.32 ,,,,,
57.34 ,36.2 ,19.406,198.40 ,,,,,
57.36 ,35.7 ,20.103,198.48 ,,,,,
57.38 ,31.0 ,19.757,198.56 ,,,,,
57.40 ,32.9 ,20.577,198.63 ,,,,,
57.42 ,30.6 ,21.01,198.71 ,,,,,
57.44 ,30.7 ,21.447,198.78 ,,,,,
57.46 ,30.0 ,21.022,198.86 ,,,,,
57.48 ,30.2 ,22.413,198.93 ,,,,,
57.50 ,29.3 ,21.93,199.00 ,,,,,
57.52 ,29.3 ,22.329,199.18 ,,,,,
57.54 ,28.8 ,22.882,199.36 ,,,,,
57.56 ,29.0 ,22.211,199.54 ,,,,,
57.58 ,29.2 ,22.98,199.72 ,,,,,
57.60 ,28.8 ,22.737,199.90 ,,,,,
57.62 ,28.8 ,22.248,200.09 ,,,,,
57.64 ,28.9 ,21.778,200.27 ,,,,,
57.66 ,29.0 ,22.102,200.45 ,,,,,
57.68 ,28.8 ,22.746,200.64 ,,,,,
57.70 ,28.8 ,22.542,200.81 ,,,,,
57.72 ,29.1 ,23.474,200.99 ,,,,,
57.74 ,29.7 ,23.571,201.16 ,,,,,
57.76 ,29.3 ,23.17,201.34 ,,,,,
57.78 ,29.1 ,22.011,201.52 ,,,,,
57.80 ,29.0 ,23.056,201.70 ,,,,,
57.82 ,29.2 ,22.214,201.88 ,,,,,
57.84 ,29.3 ,23.886,202.05 ,,,,,
57.86 ,29.4 ,23.537,202.23 ,,,,,
57.88 ,30.1 ,22.366,202.40 ,,,,,
57.90 ,30.6 ,23.353,202.58 ,,,,,
57.92 ,30.9 ,22.752,202.76 ,,,,,
57.94 ,30.9 ,23.425,202.94 ,,,,,
57.96 ,31.2 ,22.412,203.11 ,,,,,
57.98 ,31.9 ,22.796,203.29 ,,,,,
58.00 ,31.8 ,22.796,203.48 ,,,,,
58.02 ,31.8 ,21.925,203.66 ,,,,,
58.04 ,32.4 ,22.173,203.84 ,,,,,
58.06 ,33.5 ,22.114,204.03 ,,,,,
58.08 ,33.4 ,21.889,204.21 ,,,,,
58.10 ,33.2 ,21.717,204.40 ,,,,,
58.12 ,33.1 ,21.612,204.59 ,,,,,
58.14 ,33.2 ,21.664,204.78 ,,,,,
58.16 ,33.3 ,21.393,204.97 ,,,,,
58.18 ,33.8 ,21.189,205.16 ,,,,,
58.20 ,33.0 ,21.953,205.34 ,,,,,
58.22 ,32.7 ,22.819,205.52 ,,,,,
58.24 ,32.8 ,23.454,205.70 ,,,,,
58.26 ,33.0 ,23.458,205.87 ,,,,,
58.28 ,32.5 ,23.36,206.05 ,,,,,
58.30 ,31.9 ,22.42,206.22 ,,,,,
58.32 ,32.6 ,23.036,206.40 ,,,,,
58.34 ,33.3 ,22.487,206.58 ,,,,,
58.36 ,34.6 ,22.466,206.76 ,,,,,
58.38 ,35.0 ,23.102,206.95 ,,,,,
58.40 ,35.2 ,20.498,207.14 ,,,,,
58.42 ,35.2 ,21.092,207.33 ,,,,,
58.44 ,34.8 ,21.745,207.52 ,,,,,
58.46 ,34.6 ,22.008,207.70 ,,,,,
58.48 ,34.5 ,21.758,207.89 ,,,,,
58.50 ,34.3 ,22.658,208.07 ,,,,,
58.52 ,34.2 ,22.485,208.26 ,,,,,
58.54 ,34.5 ,21.168,208.44 ,,,,,
58.56 ,35.8 ,21.476,208.63 ,,,,,
58.58 ,35.9 ,22.128,208.82 ,,,,,
58.60 ,36.7 ,22.597,209.00 ,,,,,
58.62 ,36.9 ,21.894,209.20 ,,,,,
58.64 ,39.1 ,21.022,209.40 ,,,,,
58.66 ,38.2 ,21.342,209.61 ,,,,,
58.68 ,36.2 ,21.738,209.81 ,,,,,
58.70 ,36.8 ,21.997,210.01 ,,,,,
58.72 ,36.5 ,21.328,210.21 ,,,,,
58.74 ,37.7 ,21.953,210.41 ,,,,,
58.76 ,38.9 ,20.935,210.62 ,,,,,
58.78 ,39.3 ,21.112,210.83 ,,,,,
58.80 ,41.7 ,19.575,211.04 ,,,,,
58.82 ,42.8 ,20.196,211.26 ,,,,,
58.84 ,42.1 ,20.016,211.48 ,,,,,
58.86 ,43.1 ,19.773,211.70 ,,,,,
58.88 ,44.6 ,20.118,211.92 ,,,,,
58.90 ,45.2 ,19.636,212.14 ,,,,,
58.92 ,44.7 ,19.803,212.36 ,,,,,
58.94 ,52.5 ,19.197,212.59 ,,,,,
58.96 ,54.5 ,17.758,212.83 ,,,,,
58.98 ,60.6 ,18.298,213.07 ,,,,,
59.00 ,72.2 ,17.554,213.32 ,,,,,
59.02 ,76.8 ,17.475,213.57 ,,,,,
59.04 ,78.4 ,17.458,213.82 ,,,,,
59.06 ,78.2 ,17.364,214.06 ,,,,,
59.08 ,79.5 ,18.072,214.30 ,,,,,
59.10 ,72.1 ,19.122,214.54 ,,,,,
59.12 ,86.4 ,19.126,214.76 ,,,,,
59.14 ,83.9 ,20.552,214.98 ,,,,,
59.16 ,74.7 ,20.741,215.18 ,,,,,
59.18 ,64.9 ,21.401,215.38 ,,,,,
59.20 ,38.6 ,23.636,215.57 ,,,,,
59.22 ,33.0 ,25.65,215.74 ,,,,,
59.24 ,34.2 ,25.652,215.91 ,,,,,
59.26 ,32.2 ,24.896,216.09 ,,,,,
59.28 ,30.1 ,24.395,216.26 ,,,,,
59.30 ,31.0 ,25.083,216.44 ,,,,,
59.32 ,30.4 ,25.595,216.61 ,,,,,
59.34 ,31.2 ,26.423,216.78 ,,,,,
59.36 ,31.7 ,25.149,216.95 ,,,,,
59.38 ,32.8 ,24.876,217.12 ,,,,,
59.40 ,32.2 ,24.853,217.30 ,,,,,
59.42 ,32.6 ,24.804,217.47 ,,,,,
59.44 ,31.4 ,24.731,217.65 ,,,,,
59.46 ,29.9 ,24.152,217.83 ,,,,,
59.48 ,29.6 ,22.81,218.02 ,,,,,
59.50 ,30.7 ,25.401,218.19 ,,,,,
59.52 ,31.4 ,25.347,218.37 ,,,,,
59.54 ,31.2 ,25.097,218.54 ,,,,,
59.56 ,30.9 ,24.226,218.72 ,,,,,
59.58 ,31.2 ,24.017,218.90 ,,,,,
59.60 ,31.2 ,23.264,219.08 ,,,,,
59.62 ,31.0 ,24.644,219.27 ,,,,,
59.64 ,30.9 ,23.722,219.45 ,,,,,
