Age 1,O181,,,Age2,O182
,,,10700.4,10.7004,-8.2
,,,10719.3,10.7193,-8.43
,,,10738.3,10.7383,-8.32
,,,10757.3,10.7573,-8.63
,,,10776.2,10.7762,-8.96
,,,10795.2,10.7952,-8.9
,,,10814.2,10.8142,-8.82
,,,10833.1,10.8331,-7.96
,,,10852.1,10.8521,-7.75
,,,10871,10.871,-7.7
,,,10890,10.89,-7.84
,,,10909.1,10.9091,-7.97
,,,10928.2,10.9282,-8.11
,,,10947.4,10.9474,-8.23
,,,10966.5,10.9665,-8.18
,,,10985.6,10.9856,-8.71
,,,11004.7,11.0047,-8.6
,,,11023.8,11.0238,-8.42
,,,11043,11.043,-8.32
,,,11062.1,11.0621,-8.4
,,,11081.2,11.0812,-8.63
,,,11100.3,11.1003,-8.38
,,,11119.4,11.1194,-8.21
,,,11138.6,11.1386,-8.24
,,,11157.7,11.1577,-8.41
,,,11176.8,11.1768,-8.61
,,,11195.9,11.1959,-7.52
,,,11215,11.215,-7.37
,,,11234.2,11.2342,-7.62
,,,11253.3,11.2533,-7.95
,,,11272.4,11.2724,-8.22
,,,11291.5,11.2915,-8
,,,11310.6,11.3106,-7.45
,,,11329.8,11.3298,-7.57
,,,11348.9,11.3489,-7.45
,,,11368,11.368,-7.76
,,,11384.9,11.3849,-7.73
,,,11401.8,11.4018,-7.37
,,,11418.7,11.4187,-7.44
,,,11435.6,11.4356,-7.36
,,,11452.5,11.4525,-7.36
,,,11469.4,11.4694,-7.54
,,,11486.3,11.4863,-7.42
,,,11503.2,11.5032,-7.42
,,,11520.1,11.5201,-7.27
,,,11537,11.537,-6.93
,,,11554,11.554,-6.89
,,,11570.9,11.5709,-6.85
,,,11587.8,11.5878,-6.76
,,,11604.7,11.6047,-6.76
,,,11621.6,11.6216,-6.86
,,,11638.5,11.6385,-6.8
,,,11655.4,11.6554,-6.62
,,,11672.3,11.6723,-6.63
,,,11689.2,11.6892,-6.34
,,,11706.1,11.7061,-6.29
,,,11723,11.723,-6.57
,,,11744.3,11.7443,-6.59
,,,11765.6,11.7656,-6.38
,,,11786.9,11.7869,-6.12
,,,11808.2,11.8082,-6.77
,,,11829.5,11.8295,-6.73
,,,11850.8,11.8508,-6.89
,,,11872.1,11.8721,-6.74
,,,11893.4,11.8934,-6.66
,,,11914.7,11.9147,-6.8
,,,11936,11.936,-6.87
,,,11957.3,11.9573,-6.63
,,,11978.6,11.9786,-6.87
,,,11999.9,11.9999,-6.45
,,,12021.2,12.0212,-6.7
,,,12042.5,12.0425,-6.5
,,,12063.8,12.0638,-6.84
,,,12085.1,12.0851,-6.49
,,,12106.4,12.1064,-6.51
,,,12127.7,12.1277,-6.65
,,,12149,12.149,-6.49
,,,12179.4,12.1794,-6.6
,,,12209.8,12.2098,-6.7
,,,12240.3,12.2403,-6.86
,,,12270.7,12.2707,-6.96
,,,12301.1,12.3011,-6.31
,,,12331.5,12.3315,-6.56
,,,12361.9,12.3619,-6.71
,,,12392.3,12.3923,-6.82
,,,12422.8,12.4228,-6.8
,,,12453.2,12.4532,-6.94
,,,12483.6,12.4836,-6.95
,,,12514,12.514,-6.62
,,,12542.3,12.5423,-6.48
,,,12570.6,12.5706,-6.52
,,,12598.9,12.5989,-7.18
,,,12627.2,12.6272,-7.28
,,,12655.5,12.6555,-7.15
,,,12683.8,12.6838,-7.29
,,,12712.1,12.7121,-7.11
,,,12740.4,12.7404,-7.41
,,,12768.6,12.7686,-7.49
,,,12796.9,12.7969,-7.17
,,,12825.2,12.8252,-7.44
,,,12853.5,12.8535,-7.34
,,,12881.8,12.8818,-7.47
,,,12910.1,12.9101,-7.52
,,,12938.4,12.9384,-6.92
,,,12966.7,12.9667,-7.23
,,,12995,12.995,-7.27
,,,13001.4,13.0014,-7.05
,,,13007.7,13.0077,-7.31
,,,13014.1,13.0141,-7.85
,,,13020.5,13.0205,-7.85
,,,13026.9,13.0269,-7.74
,,,13033.2,13.0332,-7.59
,,,13039.6,13.0396,-7.57
,,,13046,13.046,-7.53
,,,13052.3,13.0523,-7.81
,,,13058.7,13.0587,-7.92
,,,13065.1,13.0651,-7.88
,,,13071.4,13.0714,-7.85
,,,13077.8,13.0778,-8.13
,,,13084.2,13.0842,-8.24
,,,13090.6,13.0906,-8.1
,,,13096.9,13.0969,-8.07
,,,13103.3,13.1033,-8.15
,,,13109.7,13.1097,-8.4
,,,13116,13.116,-8.17
,,,13122.4,13.1224,-8.38
,,,13128.8,13.1288,-8.49
,,,13135.1,13.1351,-7.83
,,,13141.5,13.1415,-7.73
,,,13147.9,13.1479,-7.77
,,,13154.3,13.1543,-7.85
,,,13160.6,13.1606,-7.81
,,,13167,13.167,-7.93
,,,13182.7,13.1827,-7.88
,,,13198.4,13.1984,-7.87
,,,13214.1,13.2141,-7.81
,,,13229.8,13.2298,-8.05
,,,13245.5,13.2455,-7.47
,,,13261.2,13.2612,-7.86
,,,13276.9,13.2769,-7.78
,,,13292.6,13.2926,-8.07
,,,13308.3,13.3083,-8.03
,,,13324,13.324,-8.05
,,,13339.7,13.3397,-7.75
,,,13355.4,13.3554,-7.91
,,,13371.1,13.3711,-7.87
,,,13386.8,13.3868,-8.01
,,,13402.5,13.4025,-7.9
,,,13418.2,13.4182,-7.87
,,,13433.9,13.4339,-8.09
,,,13449.6,13.4496,-8.03
,,,13465.3,13.4653,-8.01
,,,13481,13.481,-8.2
,,,13496.7,13.4967,-8.29
,,,13512.4,13.5124,-8.09
,,,13559.5,13.5595,-7.98
,,,13575.2,13.5752,-8.15
,,,13590.9,13.5909,-7.94
,,,13606.6,13.6066,-7.89
,,,13622.3,13.6223,-8.03
,,,13638,13.638,-7.97
,,,13666.2,13.6662,-7.9
,,,13694.4,13.6944,-7.94
,,,13722.5,13.7225,-7.86
,,,13750.7,13.7507,-7.91
,,,13778.9,13.7789,-8.11
,,,13807.1,13.8071,-8.27
,,,13835.2,13.8352,-8.22
,,,13863.4,13.8634,-7.45
,,,13891.6,13.8916,-7.9
,,,13919.8,13.9198,-8.16
,,,13947.9,13.9479,-7.95
,,,13976.1,13.9761,-7.53
,,,14004.3,14.0043,-7.33
,,,14117,14.117,-7.68
,,,14154.8,14.1548,-7.4
,,,14192.6,14.1926,-7.53
,,,14230.4,14.2304,-7.35
,,,14268.2,14.2682,-7.68
,,,14305.9,14.3059,-7.27
,,,14343.7,14.3437,-6.64
,,,14381.5,14.3815,-6.78
,,,14419.3,14.4193,-6.92
,,,14457.1,14.4571,-6.72
,,,14494.9,14.4949,-6.35
,,,14532.7,14.5327,-5.92
,,,14570.5,14.5705,-6.93
,,,14608.3,14.6083,-6.33
,,,14646.1,14.6461,-6.69
,,,14683.8,14.6838,-5.71
,,,14721.6,14.7216,-5.45
,,,14759.4,14.7594,-5.15
,,,14797.2,14.7972,-5.45
,,,14835,14.835,-5.32
,,,14879.1,14.8791,-5.27
,,,14923.3,14.9233,-5.18
,,,14967.4,14.9674,-4.96
,,,15011.5,15.0115,-5.29
,,,15055.6,15.0556,-5.07
,,,15099.8,15.0998,-5.29
,,,15143.9,15.1439,-5.33
,,,15188,15.188,-5.64
,,,15232.1,15.2321,-5.52
,,,15276.3,15.2763,-5.34
,,,15320.4,15.3204,-5.72
,,,15364.5,15.3645,-5.12
,,,15408.6,15.4086,-5.24
,,,15452.8,15.4528,-5.28
,,,15496.9,15.4969,-5.16
,,,15541,15.541,-5.1
,,,15567.9,15.5679,-5.15
,,,15594.9,15.5949,-5.08
,,,15621.8,15.6218,-5.08
,,,15648.7,15.6487,-5.08
,,,15675.6,15.6756,-4.94
,,,15702.6,15.7026,-4.96
,,,15729.5,15.7295,-4.92
,,,15756.4,15.7564,-4.84
,,,15783.4,15.7834,-4.89
,,,15810.3,15.8103,-5.14
